,country,hazard_type,landslide_type,trigger,fatalities,injuries,latitude,longitude,distance,population,year,month,day,day_of_week,is_weekend,season,total_casualties,affected_area,population_density
0,132,1,5,13,1.0,0.0,54.5494,-3.5875,0.22405,24803.0,2007.0,1.0,2.0,1.0,0,0.0,0.0,0.1577029325159435,157276.72025054105
1,88,1,0,13,0.0,0.0,-10.3838,-75.42669999999998,12.26171,0.0,2007.0,1.0,3.0,2.0,0,0.0,0.0,472.33698559173524,0.0
2,17,1,5,13,7.0,0.0,-22.28234635,-42.53636205,0.63016,153361.0,2007.0,1.0,5.0,4.0,0,0.0,0.0,1.2475315497135246,122931.5603563027
3,17,1,5,13,2.0,0.0,-22.0452,-42.6734,14.05144,11555.0,2007.0,1.0,5.0,4.0,0,0.0,0.0,620.2853717198005,18.628522494352328
4,17,1,5,13,1.0,0.0,-23.2311,-46.6136,10.07582,54415.0,2007.0,1.0,5.0,4.0,0,0.0,0.0,318.9412364458626,170.61136592551102
5,84,1,5,13,13.0,0.0,33.5452,73.70619999999998,19.21263,0.0,2007.0,1.0,5.0,4.0,0,0.0,0.0,1159.6408642607123,0.0
6,18,1,5,13,0.0,0.0,4.9833,114.917,5.87279,64409.0,2007.0,1.0,8.0,0.0,0,0.0,0.0,108.35246997068079,594.4396100746803
7,54,1,0,13,28.0,0.0,0.0667,100.9833,42.08436,0.0,2007.0,1.0,8.0,0.0,0,0.0,0.0,5564.053877946407,0.0
8,89,1,5,16,6.0,0.0,7.5314,126.013,0.49587,6148.0,2007.0,1.0,11.0,3.0,0,0.0,0.0,0.7724769715698554,7958.813306118128
9,110,1,5,13,2.0,0.0,6.9658,80.7577,2.83392,25775.0,2007.0,1.0,13.0,5.0,1,0.0,0.0,25.230452822828372,1021.58293317189
10,132,1,5,4,0.0,0.0,51.28876789,-0.154356568,2.42905,51559.0,2007.0,1.0,13.0,5.0,1,0.0,0.0,18.53628856218812,2781.5169054486123
11,55,1,0,13,0.0,0.0,36.3667,52.1042,24.88463,199382.0,2007.0,1.0,14.0,6.0,1,0.0,0.0,1945.4149466138508,102.4881608661639
12,54,1,6,4,24.0,0.0,3.5424,125.5401,4.44417,0.0,2007.0,1.0,11.0,3.0,0,0.0,0.0,62.0484874839736,0.0
13,89,1,5,13,0.0,0.0,8.6184,125.6732,5.49933,3381.0,2007.0,1.0,17.0,2.0,0,0.0,0.0,95.01002564349521,35.585718213428116
14,89,1,5,13,5.0,0.0,17.1167,120.917,4.06522,2830.0,2007.0,1.0,18.0,3.0,0,0.0,0.0,51.91800307093809,54.50903025166884
15,26,1,5,13,8.0,0.0,29.3631,115.4786,1.73237,0.0,2007.0,1.0,19.0,4.0,0,0.0,0.0,9.428251987018635,0.0
16,54,1,5,13,6.0,0.0,-0.6811,119.762,2.61442,0.0,2007.0,1.0,31.0,2.0,0,0.0,0.0,21.473388773270432,0.0
17,88,1,5,13,5.0,0.0,-13.268,-72.40049999999998,14.94244,2000.0,2007.0,2.0,2.0,4.0,0,0.0,0.0,701.4438534424945,2.85126170852385
18,23,1,0,13,0.0,0.0,50.1067,-122.9765,1.19034,10600.0,2007.0,2.0,4.0,6.0,1,0.0,0.0,4.451351896691901,2381.299040383119
19,54,1,5,13,7.0,0.0,-6.25,106.1,0.6654,0.0,2007.0,2.0,6.0,1.0,0,0.0,0.0,1.3909626411802805,0.0
20,132,1,5,16,0.0,0.0,50.7035,-3.2243,1.77064,11853.0,2007.0,2.0,7.0,2.0,0,0.0,0.0,9.849414503543786,1203.4217867199447
21,18,1,5,13,0.0,0.0,4.4999,114.6667,33.23722,19151.0,2007.0,2.0,11.0,6.0,1,0.0,0.0,3470.557595847161,5.518133461584363
22,40,1,5,13,0.0,0.0,-18.0167,177.55,27.83596,42284.0,2007.0,2.0,11.0,6.0,1,0.0,0.0,2434.233753815018,17.37055857258203
23,133,1,5,13,0.0,0.0,38.4909,-122.3494,9.96508,2933.0,2007.0,2.0,11.0,6.0,1,0.0,0.0,311.9690079279002,9.401574917588775
24,132,1,5,13,0.0,0.0,50.4444,-4.9527,1.84621,3170.0,2007.0,2.0,13.0,1.0,0,0.0,0.0,10.708091429280811,296.03781597640943
25,132,1,5,13,0.0,0.0,51.28777211,-0.15430659,2.42905,51559.0,2007.0,2.0,14.0,2.0,0,0.0,0.0,18.53628856218812,2781.5169054486123
26,133,1,5,13,0.0,0.0,45.6993,-121.895,0.67264,1465.0,2007.0,2.0,15.0,3.0,0,0.0,0.0,1.4213965360119558,1030.676495181551
27,54,1,5,13,21.0,0.0,-7.28,110.141,22.71493,111461.0,2007.0,2.0,19.0,0.0,0,0.0,0.0,1620.961419360322,68.76227815711106
28,84,1,5,13,8.0,0.0,33.8667,73.7667,1.14371,50000.0,2007.0,2.0,25.0,6.0,1,0.0,0.0,4.109431157738924,12167.134107074522
29,133,1,0,13,0.0,0.0,37.7923,-122.4629,4.28838,805235.0,2007.0,2.0,27.0,1.0,0,0.0,0.0,57.77452671947984,13937.543857516343
30,54,1,5,13,12.0,0.0,-8.6993,125.6723,12.08092,17356.0,2007.0,3.0,1.0,3.0,0,1.0,0.0,458.51113767207954,37.8529518129454
31,41,1,5,16,0.0,0.0,45.8737,6.8935,5.87091,10614.0,2007.0,3.0,3.0,5.0,1,1.0,0.0,108.28310939798638,98.02082761577381
32,54,1,5,4,3.0,0.0,-8.626481143,120.4401609,6.70539,0.0,2007.0,3.0,3.0,5.0,1,1.0,0.0,141.25309016050792,0.0
33,133,1,5,13,0.0,0.0,38.6009,-77.26819999999998,3.40765,16000.0,2007.0,3.0,2.0,4.0,0,1.0,0.0,36.48042057919382,438.59143469210477
34,53,1,5,13,2.0,0.0,34.0935,74.91119999999998,10.00335,975857.0,2007.0,3.0,12.0,0.0,0,1.0,0.0,314.36978732329334,3104.1691643110817
35,132,1,5,13,0.0,0.0,52.456,-2.4244,2.96254,3371.0,2007.0,3.0,14.0,2.0,0,1.0,0.0,27.572637962404997,122.2588859504964
36,53,1,5,13,2.0,0.0,33.8778,74.33329999999998,18.10887,14711.0,2007.0,3.0,19.0,0.0,0,1.0,0.0,1030.2261629648349,14.2793888651245
37,84,1,5,13,40.0,0.0,33.5708,73.494,10.21214,22551.0,2007.0,3.0,20.0,1.0,0,1.0,0.0,327.6297969563681,68.8307358167524
38,77,1,5,13,0.0,0.0,28.3667,82.1667,1.36246,0.0,2007.0,3.0,21.0,2.0,0,1.0,0.0,5.831729808505484,0.0
39,84,1,5,13,10.0,0.0,33.7033,73.03799999999998,2.07567,601600.0,2007.0,3.0,21.0,2.0,0,1.0,0.0,13.535256477746804,44446.88587830495
40,72,1,5,4,0.0,0.0,2.943,101.698,1.14708,50000.0,2007.0,3.0,22.0,3.0,0,1.0,0.0,4.133684134586595,12095.747612075455
41,133,1,5,13,0.0,0.0,40.5175,-81.43049999999998,3.33522,17288.0,2007.0,3.0,22.0,3.0,0,1.0,0.0,34.946110476685696,494.7045540742994
42,84,1,5,4,10.0,0.0,33.9659,74.3313,9.48165,14711.0,2007.0,3.0,23.0,4.0,0,1.0,0.0,282.43447855273706,52.086416911216865
43,119,1,5,4,8.0,0.0,39.0071,70.1951,22.77523,1115.0,2007.0,3.0,25.0,6.0,1,1.0,0.0,1629.5789859740598,0.6842258089953971
44,133,1,5,13,0.0,0.0,46.355,-122.5479,29.09438,1982.0,2007.0,3.0,26.0,0.0,0,1.0,0.0,2659.3046095201853,0.7453076239948343
45,138,1,5,13,0.0,0.0,15.4508,43.9605,8.84661,0.0,2007.0,3.0,26.0,0.0,0,1.0,0.0,245.86892173029014,0.0
46,23,1,5,13,0.0,0.0,49.1461,-122.3236,11.24896,151683.0,2007.0,3.0,24.0,5.0,1,1.0,0.0,397.5343103498108,381.5595183885546
47,0,1,5,6,114.0,0.0,34.5353,69.1696,0.83418,3043532.0,2007.0,3.0,28.0,2.0,0,1.0,0.0,2.186096953326218,1392221.8753240411
48,23,1,5,13,0.0,0.0,49.2966,-123.1357,1.48553,44560.0,2007.0,3.0,28.0,2.0,0,1.0,0.0,6.932864722981944,6427.357489363211
49,133,1,5,13,0.0,0.0,45.5113,-122.7069,2.3782,20156.0,2007.0,3.0,28.0,2.0,0,1.0,0.0,17.768330439898264,1134.3778228448687
